canonical	facet	parent_category	parent_source	provenance	confidence	aat_id	llm_note
glaze	material	(unrolled)	self	self	unrolled	300015091	
glazed	material	(unrolled)	self	self	unrolled		
glazed ceramic tile	material	(unrolled)	self	self	unrolled	300010676	
glazed chintz	material	(unrolled)	self	self	unrolled	300132876	
glazed cotton backing	material	(unrolled)	self	self	unrolled	300227764	
glazed cotton lining	material	(unrolled)	self	self	unrolled	300162124	
glazed earthenware?	material	(unrolled)	self	self	unrolled		
glazed faience	material	(unrolled)	self	self	unrolled	300010668	
glazed paper mounted to book page	material	(unrolled)	self	self	unrolled		
glazed parian ware	material	(unrolled)	self	self	unrolled	300244578	
glazed stoneware	material	(unrolled)	self	self	unrolled	300010672	
glazed terracotta	material	(unrolled)	self	self	unrolled	300298634	
glazed terracotta relief	material	(unrolled)	self	self	unrolled	300053622	
glitter	material	(unrolled)	self	self	unrolled	300183800	
glue	material	(unrolled)	self	self	unrolled	300014815	
glue relief	material	(unrolled)	self	self	unrolled	300053622	
glued thread	material	(unrolled)	self	self	unrolled	300014250	
glued-on cowrie shell	material	(unrolled)	self	self	unrolled	300011829	
glueing	material	(unrolled)	self	self	unrolled		
goa-nutshell rattle	material	(unrolled)	self	self	unrolled		
goat hair?	material	(unrolled)	self	self	unrolled		
gold & silver braid	material	(unrolled)	self	self	unrolled	300232186	
gold accent	material	(unrolled)	self	self	unrolled		
gold addition	material	(unrolled)	self	self	unrolled		
gold bead	material	(unrolled)	self	self	unrolled	300261776	
gold border	material	(unrolled)	self	self	unrolled		
gold braid	material	(unrolled)	self	self	unrolled	300248064	
gold brocade	material	(unrolled)	self	self	unrolled	300227779	
gold brocaded blue net	material	(unrolled)	self	self	unrolled	300249438	
gold buckle	material	(unrolled)	self	self	unrolled		
gold button	material	(unrolled)	self	self	unrolled		
gold chain	material	(unrolled)	self	self	unrolled		
gold chain trim	material	(unrolled)	self	self	unrolled		
gold compas	material	(unrolled)	self	self	unrolled		
gold cord	material	(unrolled)	self	self	unrolled	300014247	
gold decoration	material	(unrolled)	self	self	unrolled	300056257	
gold diagonal stripe cloth	material	(unrolled)	self	self	unrolled	300162391	
gold embossed label	material	(unrolled)	self	self	unrolled		
gold emulsion	material	(unrolled)	self	self	unrolled	300015003	
gold filigree	material	(unrolled)	self	self	unrolled	300220293	
gold flake	material	(unrolled)	self	self	unrolled	300014649	
gold foil stamping	material	(unrolled)	self	self	unrolled	300053138	
gold foil underglaze	material	(unrolled)	self	self	unrolled		
gold frame	material	(unrolled)	self	self	unrolled		
gold fringe	material	(unrolled)	self	self	unrolled	300227830	
gold galloon	material	(unrolled)	self	self	unrolled	300231784	
gold gilt	material	(unrolled)	self	self	unrolled		
gold gilt edge	material	(unrolled)	self	self	unrolled		
gold gilt edge at the top	material	(unrolled)	self	self	unrolled	300121968	
gold glas	material	(unrolled)	self	self	unrolled		
gold horse	material	(unrolled)	self	self	unrolled		
gold illumination	material	(unrolled)	self	self	unrolled	300220539	
gold in six tone	material	(unrolled)	self	self	unrolled	300056173	
gold inlaid	material	(unrolled)	self	self	unrolled		
gold kid	material	(unrolled)	self	self	unrolled		
gold lace	material	(unrolled)	self	self	unrolled	300132861	
gold lace galloon	material	(unrolled)	self	self	unrolled	300231784	
gold lame	material	(unrolled)	self	self	unrolled		
gold lamé	material	(unrolled)	self	self	unrolled		
gold lamé heel	material	(unrolled)	self	self	unrolled		
gold lamé trim	material	(unrolled)	self	self	unrolled		
gold leaf border	material	(unrolled)	self	self	unrolled		
gold leaf bound in	material	(unrolled)	self	self	unrolled		
gold leaf collage	material	(unrolled)	self	self	unrolled	300138699	
gold leaf embossed illustration	material	(unrolled)	self	self	unrolled	300054200	
gold leaf in twelve color	material	(unrolled)	self	self	unrolled	300131647	
gold leaf stamping	material	(unrolled)	self	self	unrolled	300053138	
gold lettering	material	(unrolled)	self	self	unrolled	300053342	
gold line design	material	(unrolled)	self	self	unrolled	300054171	
gold linen lace	material	(unrolled)	self	self	unrolled	300132861	
gold medal	material	(unrolled)	self	self	unrolled		
gold mesh tape	material	(unrolled)	self	self	unrolled	300014685	
gold metal appliqué	material	(unrolled)	self	self	unrolled		
gold metal bead	material	(unrolled)	self	self	unrolled	300261776	
gold metal braid	material	(unrolled)	self	self	unrolled	300232186	
gold metal frame	material	(unrolled)	self	self	unrolled		
gold metal heel	material	(unrolled)	self	self	unrolled		
gold metal lace	material	(unrolled)	self	self	unrolled	300132861	
gold metal mesh	material	(unrolled)	self	self	unrolled	300014654	
gold metal supplementary weft patterning	material	(unrolled)	self	self	unrolled	300248891	
gold metallic braid	material	(unrolled)	self	self	unrolled	300232186	
gold metallic embroidered gros de tour	material	(unrolled)	self	self	unrolled		
gold metallic lace	material	(unrolled)	self	self	unrolled	300132861	
gold metallic thread	material	(unrolled)	self	self	unrolled	300014250	
gold metallic trim	material	(unrolled)	self	self	unrolled		
gold mount	material	(unrolled)	self	self	unrolled		
gold mounted	material	(unrolled)	self	self	unrolled		
gold mounting	material	(unrolled)	self	self	unrolled	300081370	
gold mushroom landscape	material	(unrolled)	self	self	unrolled		
gold olive a) wool knit	material	(unrolled)	self	self	unrolled		
gold or bras	material	(unrolled)	self	self	unrolled		
gold painted highlighting	material	(unrolled)	self	self	unrolled	300389864	
gold paper trim	material	(unrolled)	self	self	unrolled		
gold passementerie	material	(unrolled)	self	self	unrolled	300232151	
gold pigment	material	(unrolled)	self	self	unrolled		
gold piping	material	(unrolled)	self	self	unrolled	300052572	
gold publisher's device	material	(unrolled)	self	self	unrolled		
gold reflective glas	material	(unrolled)	self	self	unrolled		
gold rim	material	(unrolled)	self	self	unrolled		
gold rim. c) gold spoon	material	(unrolled)	self	self	unrolled		
gold seal	material	(unrolled)	self	self	unrolled		
gold sequin	material	(unrolled)	self	self	unrolled		
gold silk lamé	material	(unrolled)	self	self	unrolled		
gold soutache braid	material	(unrolled)	self	self	unrolled	300232186	
gold spine title	material	(unrolled)	self	self	unrolled	300055726	
gold stamp.	material	(unrolled)	self	self	unrolled		
gold stamping	material	(unrolled)	self	self	unrolled	300053138	
gold striped silk satin	material	(unrolled)	self	self	unrolled	300132902	
gold supplementary-weft patterning	material	(unrolled)	self	self	unrolled	300248891	
gold supplimental weft	material	(unrolled)	self	self	unrolled	300227934	
gold thread	material	(unrolled)	self	self	unrolled	300400561	
gold thread brocade	material	(unrolled)	self	self	unrolled	300227779	
gold thread embroidered satin	material	(unrolled)	self	self	unrolled	300132902	
gold thread galloon	material	(unrolled)	self	self	unrolled	300231784	
gold tooled border	material	(unrolled)	self	self	unrolled		
gold touche	material	(unrolled)	self	self	unrolled		
gold trim	material	(unrolled)	self	self	unrolled		
gold velvet	material	(unrolled)	self	self	unrolled	300133711	
gold wash	material	(unrolled)	self	self	unrolled	300011051	
gold-	material	(unrolled)	self	self	unrolled		
gold-band glass rim	material	(unrolled)	self	self	unrolled		
gold-bronze metallic matelasse	material	(unrolled)	self	self	unrolled		
gold-colored mesh	material	(unrolled)	self	self	unrolled	300014654	
gold-paper thread	material	(unrolled)	self	self	unrolled	300014250	
gold-plated copper alloy button	material	(unrolled)	self	self	unrolled		
gold-tone metal button	material	(unrolled)	self	self	unrolled		
gold-wrapped thread	material	(unrolled)	self	self	unrolled	300014250	
gold.	material	(unrolled)	self	self	unrolled		
gold?	material	(unrolled)	self	self	unrolled		
goldpoint	material	(unrolled)	self	self	unrolled		
gong) bras	material	(unrolled)	self	self	unrolled		
gouache under pen	material	(unrolled)	self	self	unrolled		
gourd	material	(unrolled)	self	self	unrolled		
gourd decoration	material	(unrolled)	self	self	unrolled	300056257	
gown: ombré dyed silk crêpe	material	(unrolled)	self	self	unrolled		
gown: silk satin weave	material	(unrolled)	self	self	unrolled		
grand verre contained in a cloth-covered cardboard box enclosed in a leather valise	material	(unrolled)	self	self	unrolled		
granite	material	(unrolled)	self	self	unrolled	300011183	
granite base	material	(unrolled)	self	self	unrolled	300237910	
granite headstone fragment	material	(unrolled)	self	self	unrolled		
granodiorite	material	(unrolled)	self	self	unrolled	300011210	
granulated texture	material	(unrolled)	self	self	unrolled	300056362	
graphic arts paste-up	material	(unrolled)	self	self	unrolled		
graphite addition	material	(unrolled)	self	self	unrolled		
graphite additions by the artist	material	(unrolled)	self	self	unrolled		
graphite additions by the artist. a soft ground impression	material	(unrolled)	self	self	unrolled		
graphite additons by the artist	material	(unrolled)	self	self	unrolled		
graphite by the artist	material	(unrolled)	self	self	unrolled		
graphite chalk	material	(unrolled)	self	self	unrolled	300011727	
graphite collage	material	(unrolled)	self	self	unrolled	300138699	
graphite heightened	material	(unrolled)	self	self	unrolled		
graphite inscription	material	(unrolled)	self	self	unrolled		
graphite inscriptions by the artist	material	(unrolled)	self	self	unrolled		
graphite marking	material	(unrolled)	self	self	unrolled	300079795	
graphite notation	material	(unrolled)	self	self	unrolled		
graphite overall	material	(unrolled)	self	self	unrolled	300404389	
graphite pencil	material	(unrolled)	self	self	unrolled	300410335	
graphite powder	material	(unrolled)	self	self	unrolled	300014647	
graphite retouching mounted	material	(unrolled)	self	self	unrolled		
graphite rubbing	material	(unrolled)	self	self	unrolled	300178924	
graphite sketchwatercolor	material	(unrolled)	self	self	unrolled		
graphite uder	material	(unrolled)	self	self	unrolled		
graphite under	material	(unrolled)	self	self	unrolled		
graphite under black chalk	material	(unrolled)	self	self	unrolled	300011727	
graphite under black watercolor	material	(unrolled)	self	self	unrolled		
graphite under brown watercolor	material	(unrolled)	self	self	unrolled		
graphite under brush	material	(unrolled)	self	self	unrolled		
graphite under fine brush	material	(unrolled)	self	self	unrolled		
graphite under gey	material	(unrolled)	self	self	unrolled		
graphite under pastel	material	(unrolled)	self	self	unrolled	300311039	
graphite under pen	material	(unrolled)	self	self	unrolled		
graphite under red chalk	material	(unrolled)	self	self	unrolled	300011727	
graphite under sanguine	material	(unrolled)	self	self	unrolled		
graphite under watercolor	material	(unrolled)	self	self	unrolled		
graphite v: graphite	material	(unrolled)	self	self	unrolled	300011098	
graphite wash	material	(unrolled)	self	self	unrolled	300011051	
graphite within graphite oval border	material	(unrolled)	self	self	unrolled		
graphite-gridded illustration board	material	(unrolled)	self	self	unrolled		
graphiteverso: graphite	material	(unrolled)	self	self	unrolled	300011098	
graphitewatercolor	material	(unrolled)	self	self	unrolled		
graphitewith additional watercolor	material	(unrolled)	self	self	unrolled		
gras	material	(unrolled)	self	self	unrolled		
grass fiber	material	(unrolled)	self	self	unrolled		
grasse	material	(unrolled)	self	self	unrolled		
grasses dirt	material	(unrolled)	self	self	unrolled		
gray	material	(unrolled)	self	self	unrolled		
gray brown wash	material	(unrolled)	self	self	unrolled	300011051	
gray calf doublure	material	(unrolled)	self	self	unrolled		
gray calf spine	material	(unrolled)	self	self	unrolled		
gray chalk	material	(unrolled)	self	self	unrolled	300011727	
gray felt	material	(unrolled)	self	self	unrolled	300014107	
gray gouache prepared ground	material	(unrolled)	self	self	unrolled	300015297	
gray ink wash	material	(unrolled)	self	self	unrolled	300011051	
gray mica background added later	material	(unrolled)	self	self	unrolled		
gray murillo	material	(unrolled)	self	self	unrolled		
gray pastel	material	(unrolled)	self	self	unrolled	300311039	
gray ware	material	(unrolled)	self	self	unrolled	300343408	
gray wash addition by a later hand	material	(unrolled)	self	self	unrolled	300221683	
gray wash heightened	material	(unrolled)	self	self	unrolled		
gray wash mounted	material	(unrolled)	self	self	unrolled		
gray wash red chalk	material	(unrolled)	self	self	unrolled	300011727	
gray washe	material	(unrolled)	self	self	unrolled		
gray watercolor	material	(unrolled)	self	self	unrolled		
gray watercolor additions by the artist	material	(unrolled)	self	self	unrolled		
gray wool doubleknit	material	(unrolled)	self	self	unrolled		
gray wool flannel/twill	material	(unrolled)	self	self	unrolled		
gray wool tweed	material	(unrolled)	self	self	unrolled	300132867	
gray-black	material	(unrolled)	self	self	unrolled		
gray-brown	material	(unrolled)	self	self	unrolled		
gray-brown wash	material	(unrolled)	self	self	unrolled	300011051	
gray-green	material	(unrolled)	self	self	unrolled		
gray-green gouache ground	material	(unrolled)	self	self	unrolled	300015297	
greater bird	material	(unrolled)	self	self	unrolled		
green beetle carapace	material	(unrolled)	self	self	unrolled		
green bullseye spot	material	(unrolled)	self	self	unrolled		
green calf mosaic onlay	material	(unrolled)	self	self	unrolled		
green chiffon	material	(unrolled)	self	self	unrolled	300249449	
green cloth	material	(unrolled)	self	self	unrolled	300162391	
green commercial	material	(unrolled)	self	self	unrolled		
green cord	material	(unrolled)	self	self	unrolled	300014247	
green crackle glaze stoneware	material	(unrolled)	self	self	unrolled	300010672	
green crayon smudge	material	(unrolled)	self	self	unrolled		
green diode	material	(unrolled)	self	self	unrolled		
green dot	material	(unrolled)	self	self	unrolled		
green enamel	material	(unrolled)	self	self	unrolled	300014910	
green felt tip pen addition	material	(unrolled)	self	self	unrolled		
green floral	material	(unrolled)	self	self	unrolled		
green glas	material	(unrolled)	self	self	unrolled		
green glitter	material	(unrolled)	self	self	unrolled	300183800	
green gouache prepared ground	material	(unrolled)	self	self	unrolled	300015297	
green impression	material	(unrolled)	self	self	unrolled		
green jewel	material	(unrolled)	self	self	unrolled		
green lame	material	(unrolled)	self	self	unrolled		
green lamé velvet	material	(unrolled)	self	self	unrolled	300133711	
green leather backing	material	(unrolled)	self	self	unrolled	300227764	
green lettering	material	(unrolled)	self	self	unrolled	300053342	
green marbled board	material	(unrolled)	self	self	unrolled		
green metallic acrylic	material	(unrolled)	self	self	unrolled	300014426	
green plaid	material	(unrolled)	self	self	unrolled	300411863	
green plastic thread	material	(unrolled)	self	self	unrolled	300014250	
green prepared gouache ground	material	(unrolled)	self	self	unrolled	300015297	
green purple blue patterned silk jersey	material	(unrolled)	self	self	unrolled	300417884	
green satin	material	(unrolled)	self	self	unrolled	300132902	
green silk brocade	material	(unrolled)	self	self	unrolled	300227779	
green silk damask	material	(unrolled)	self	self	unrolled	300163295	
green silk damask upholstery	material	(unrolled)	self	self	unrolled	300204905	
green silk georgette	material	(unrolled)	self	self	unrolled		
green silk satin	material	(unrolled)	self	self	unrolled	300132902	
green silk taffeta	material	(unrolled)	self	self	unrolled	300249434	
green striped taffeta	material	(unrolled)	self	self	unrolled	300249434	
green suede doublure	material	(unrolled)	self	self	unrolled		
green suede midriff	material	(unrolled)	self	self	unrolled		
green veiling	material	(unrolled)	self	self	unrolled		
green velvet collar	material	(unrolled)	self	self	unrolled		
green watercolor	material	(unrolled)	self	self	unrolled		
green wool check	material	(unrolled)	self	self	unrolled		
green wool jersey	material	(unrolled)	self	self	unrolled	300417884	
green wrapper	material	(unrolled)	self	self	unrolled		
green/gold panne velvet	material	(unrolled)	self	self	unrolled	300133711	
greenand gray	material	(unrolled)	self	self	unrolled		
greenstone	material	(unrolled)	self	self	unrolled	300386691	
grey color pencil	material	(unrolled)	self	self	unrolled	300410335	
grey fiber	material	(unrolled)	self	self	unrolled		
grey figured silk satin	material	(unrolled)	self	self	unrolled	300132902	
grey fleck	material	(unrolled)	self	self	unrolled		
grey ink wash	material	(unrolled)	self	self	unrolled	300011051	
grey inks.	material	(unrolled)	self	self	unrolled		
grey leather bow	material	(unrolled)	self	self	unrolled		
grey metallic rayon	material	(unrolled)	self	self	unrolled	300014059	
grey pencil	material	(unrolled)	self	self	unrolled	300410335	
grey polyester	material	(unrolled)	self	self	unrolled	300014546	
grey satin organza	material	(unrolled)	self	self	unrolled	300310123	
grey taffeta	material	(unrolled)	self	self	unrolled	300249434	
grey wash	material	(unrolled)	self	self	unrolled	300011051	
grey washe	material	(unrolled)	self	self	unrolled		
grey wool flannel	material	(unrolled)	self	self	unrolled	300132886	
grey wool serge	material	(unrolled)	self	self	unrolled	300249437	
grey/beige cloth	material	(unrolled)	self	self	unrolled	300162391	
gridded graph paper in pencil	material	(unrolled)	self	self	unrolled	300410335	
gros de tour	material	(unrolled)	self	self	unrolled		
gros de tours taffeta	material	(unrolled)	self	self	unrolled	300249434	
gros point de venise	material	(unrolled)	self	self	unrolled		
gros point de venise lace	material	(unrolled)	self	self	unrolled	300132861	
gros point de venise lace copy	material	(unrolled)	self	self	unrolled	300206230	
gros point de venise silk lace	material	(unrolled)	self	self	unrolled	300132861	
gros point needlepoint	material	(unrolled)	self	self	unrolled	300264031	
grosgrain ribbon tie	material	(unrolled)	self	self	unrolled	300391271	
grosgrain tape	material	(unrolled)	self	self	unrolled	300014685	
ground red pepper	material	(unrolled)	self	self	unrolled	300389824	
ground steel plates.	material	(unrolled)	self	self	unrolled		
guache	material	(unrolled)	self	self	unrolled		
guard	material	(unrolled)	self	self	unrolled		
guaze weave	material	(unrolled)	self	self	unrolled		
guaze weave?	material	(unrolled)	self	self	unrolled		
guipure	material	(unrolled)	self	self	unrolled		
guipure de flandre	material	(unrolled)	self	self	unrolled		
guipure lace	material	(unrolled)	self	self	unrolled	300132861	
guipure needle lace	material	(unrolled)	self	self	unrolled	300132861	
guipuremilanese bobbin tape lace	material	(unrolled)	self	self	unrolled	300132861	
gum	material	(unrolled)	self	self	unrolled	300012866	
gum glaze addition	material	(unrolled)	self	self	unrolled		
guro	material	(unrolled)	self	self	unrolled	300015941	
guro or baula	material	(unrolled)	self	self	unrolled		
gut?	material	(unrolled)	self	self	unrolled		
gypsum cement	material	(unrolled)	self	self	unrolled	300010400	
habatai lining	material	(unrolled)	self	self	unrolled	300162124	
habotai	material	(unrolled)	self	self	unrolled		
haemetite	material	(unrolled)	self	self	unrolled		
hair foundation	material	(unrolled)	self	self	unrolled	300393213	
hair in a shadowbox	material	(unrolled)	self	self	unrolled		
hair?	material	(unrolled)	self	self	unrolled		
hand applied color	material	(unrolled)	self	self	unrolled	300131647	
hand applied patina	material	(unrolled)	self	self	unrolled	300065245	
hand beaten u'a painted	material	(unrolled)	self	self	unrolled		
hand blown glas	material	(unrolled)	self	self	unrolled		
hand etched glas	material	(unrolled)	self	self	unrolled		
hand filling	material	(unrolled)	self	self	unrolled	300053092	
hand knitted acrylic	material	(unrolled)	self	self	unrolled	300014426	
hand made cream	material	(unrolled)	self	self	unrolled	300266242	
hand painted acrylic border	material	(unrolled)	self	self	unrolled		
hand painted color	material	(unrolled)	self	self	unrolled	300131647	
hand painted complex weave	material	(unrolled)	self	self	unrolled		
hand painted cotton twill	material	(unrolled)	self	self	unrolled	300227915	
hand painted cover	material	(unrolled)	self	self	unrolled		
hand painted henna	material	(unrolled)	self	self	unrolled	300390897	
hand painted object	material	(unrolled)	self	self	unrolled		
hand painted taffeta	material	(unrolled)	self	self	unrolled	300249434	
hand painted watercolor: red	material	(unrolled)	self	self	unrolled	300126225	
hand painted yuzen	material	(unrolled)	self	self	unrolled		
hand painting	material	(unrolled)	self	self	unrolled	300054216	
hand sanguine chalk	material	(unrolled)	self	self	unrolled	300011727	
hand stitched silk thread	material	(unrolled)	self	self	unrolled	300014250	
hand tinted	material	(unrolled)	self	self	unrolled		
hand tinting	material	(unrolled)	self	self	unrolled	300053059	
hand watercolor	material	(unrolled)	self	self	unrolled		
hand watercolor wash	material	(unrolled)	self	self	unrolled	300011051	
hand-applied color	material	(unrolled)	self	self	unrolled	300131647	
hand-applied dye	material	(unrolled)	self	self	unrolled	300013029	
hand-applied pigment	material	(unrolled)	self	self	unrolled		
hand-cut sequin	material	(unrolled)	self	self	unrolled		
hand-dyed merino weft yarn	material	(unrolled)	self	self	unrolled	300014252	
hand-loomed silk ribbon	material	(unrolled)	self	self	unrolled	300014668	
hand-made	material	(unrolled)	self	self	unrolled		
hand-made indian rag	material	(unrolled)	self	self	unrolled	300011359	
hand-made needle lace	material	(unrolled)	self	self	unrolled	300132861	
hand-made tape lace	material	(unrolled)	self	self	unrolled	300132861	
hand-made wool felt	material	(unrolled)	self	self	unrolled	300014107	
hand-painted	material	(unrolled)	self	self	unrolled	300248263	
hand-painted acrylic	material	(unrolled)	self	self	unrolled	300014426	
hand-painted by the artist	material	(unrolled)	self	self	unrolled		
hand-painted cotton knit	material	(unrolled)	self	self	unrolled		
hand-painted tarlatan chine collé	material	(unrolled)	self	self	unrolled		
hand-watercoloring	material	(unrolled)	self	self	unrolled		
hand-woven linen	material	(unrolled)	self	self	unrolled	300014069	
handcoated	material	(unrolled)	self	self	unrolled		
handcolored	material	(unrolled)	self	self	unrolled		
handle utilizing a pig bone	material	(unrolled)	self	self	unrolled	300011798	
handmade	material	(unrolled)	self	self	unrolled		
handmade book	material	(unrolled)	self	self	unrolled		
handmade in barcham green mill	material	(unrolled)	self	self	unrolled		
handmade metal-wrapped silk lace	material	(unrolled)	self	self	unrolled	300132861	
handmade net	material	(unrolled)	self	self	unrolled	300249438	
handmade silk lace	material	(unrolled)	self	self	unrolled	300132861	
handmade to the artist's specification	material	(unrolled)	self	self	unrolled		
handpainted	material	(unrolled)	self	self	unrolled		
handpainted additions in black to sash	material	(unrolled)	self	self	unrolled		
handpainted aluminum	material	(unrolled)	self	self	unrolled		
handpainting	material	(unrolled)	self	self	unrolled		
handworked glas	material	(unrolled)	self	self	unrolled		
handwoven cloth	material	(unrolled)	self	self	unrolled	300162391	
handwoven linen	material	(unrolled)	self	self	unrolled	300014069	
handwoven plain weave	material	(unrolled)	self	self	unrolled		
handwoven tussah silk warp	material	(unrolled)	self	self	unrolled	300227930	
handwritten ink inscription	material	(unrolled)	self	self	unrolled		
hard ground	material	(unrolled)	self	self	unrolled	300183810	
hard paste porcelain?	material	(unrolled)	self	self	unrolled		
hard-	material	(unrolled)	self	self	unrolled		
hard-ground	material	(unrolled)	self	self	unrolled		
hard-paste	material	(unrolled)	self	self	unrolled		
hard-paste porcelain crystallized glaze	material	(unrolled)	self	self	unrolled	300015091	
hardshell case	material	(unrolled)	self	self	unrolled		
hardstone	material	(unrolled)	self	self	unrolled		
hardware	material	(unrolled)	self	self	unrolled	300033260	
harewood	material	(unrolled)	self	self	unrolled		
harewood inlaid	material	(unrolled)	self	self	unrolled		
hazel stick	material	(unrolled)	self	self	unrolled		
hd video	material	(unrolled)	self	self	unrolled	300054153	
head	material	(unrolled)	self	self	unrolled		
heat-pressed silk satin weave	material	(unrolled)	self	self	unrolled		
heavier sheet	material	(unrolled)	self	self	unrolled		
heavy blue cardstock	material	(unrolled)	self	self	unrolled		
heavy graphite	material	(unrolled)	self	self	unrolled	300011098	
heavy orange card stock	material	(unrolled)	self	self	unrolled		
heavy silk satin shantung	material	(unrolled)	self	self	unrolled		
heavy weight british mouldmade sheet.	material	(unrolled)	self	self	unrolled		
held in polyurethane sealant	material	(unrolled)	self	self	unrolled	300389687	
hem	material	(unrolled)	self	self	unrolled		
hematite	material	(unrolled)	self	self	unrolled		
hematite?	material	(unrolled)	self	self	unrolled		
hemp fiber	material	(unrolled)	self	self	unrolled		
hemp or ramie lining	material	(unrolled)	self	self	unrolled	300162124	
hemp rope	material	(unrolled)	self	self	unrolled	300014248	
hemstitching	material	(unrolled)	self	self	unrolled		
henna	material	(unrolled)	self	self	unrolled	300390897	
henri paricaud	material	(unrolled)	self	self	unrolled		
hickory back	material	(unrolled)	self	self	unrolled		
hide?	material	(unrolled)	self	self	unrolled		
high glos	material	(unrolled)	self	self	unrolled		
high heeled red crepe	material	(unrolled)	self	self	unrolled	300183741	
high-fired stoneware	material	(unrolled)	self	self	unrolled	300010672	
hinge. binding piece separate aluminum strip	material	(unrolled)	self	self	unrolled		
holly wood case	material	(unrolled)	self	self	unrolled		
home spun linen	material	(unrolled)	self	self	unrolled	300014069	
homespun linen	material	(unrolled)	self	self	unrolled	300014069	
honiton	material	(unrolled)	self	self	unrolled		
honiton bobbin lace	material	(unrolled)	self	self	unrolled	300132861	
honiton lace	material	(unrolled)	self	self	unrolled	300400688	
horesehair	material	(unrolled)	self	self	unrolled		
horizontal wrapping	material	(unrolled)	self	self	unrolled	300234992	
horn handle	material	(unrolled)	self	self	unrolled		
horned bull's head	material	(unrolled)	self	self	unrolled		
horse head uc	material	(unrolled)	self	self	unrolled		
horsehair braid	material	(unrolled)	self	self	unrolled	300232186	
horsehair lace	material	(unrolled)	self	self	unrolled	300132861	
horsehair net	material	(unrolled)	self	self	unrolled	300249438	
hosho paper that has been dipped in beeswax	material	(unrolled)	self	self	unrolled	300014588	
housepaint	material	(unrolled)	self	self	unrolled		
hsilver	material	(unrolled)	self	self	unrolled		
human remain	material	(unrolled)	self	self	unrolled		
iblack chalk	material	(unrolled)	self	self	unrolled	300011727	
ice blue silk jersey	material	(unrolled)	self	self	unrolled	300417884	
ice-blue ribbon stripe silk taffeta	material	(unrolled)	self	self	unrolled	300249434	
idria lace	material	(unrolled)	self	self	unrolled	300132861	
idrija or italian tape lace	material	(unrolled)	self	self	unrolled	300132861	
ii	material	(unrolled)	self	self	unrolled		
ilk	material	(unrolled)	self	self	unrolled		
illustrations by various artist	material	(unrolled)	self	self	unrolled		
image	material	(unrolled)	self	self	unrolled		
image b: pencil	material	(unrolled)	self	self	unrolled	300410335	
image in blue	material	(unrolled)	self	self	unrolled	300129361	
imitation amber	material	(unrolled)	self	self	unrolled	300012934	
imitation chantilly lace	material	(unrolled)	self	self	unrolled	300132861	
imitation cloth covered chemise	material	(unrolled)	self	self	unrolled		
imitation cloth slipcase	material	(unrolled)	self	self	unrolled		
imitation coral	material	(unrolled)	self	self	unrolled	300011800	
imitation honiton lace	material	(unrolled)	self	self	unrolled	300132861	
imitation ivory stick	material	(unrolled)	self	self	unrolled		
imitation mother-of-pearl	material	(unrolled)	self	self	unrolled		
imitation needlepoint lace	material	(unrolled)	self	self	unrolled	300132861	
imitation pearl	material	(unrolled)	self	self	unrolled	300390920	
imitation point de venise	material	(unrolled)	self	self	unrolled		
imitation point de venise bobbin-made lace	material	(unrolled)	self	self	unrolled	300132861	
imitation tortoise	material	(unrolled)	self	self	unrolled		
imitation tortoise shell	material	(unrolled)	self	self	unrolled	300380033	
imitation tortoiseshell stick	material	(unrolled)	self	self	unrolled		
imitation valenciennes lace	material	(unrolled)	self	self	unrolled	300132861	
imitation venetian coraline lace	material	(unrolled)	self	self	unrolled	300132861	
impasto watercolor	material	(unrolled)	self	self	unrolled		
imported cotton cloth	material	(unrolled)	self	self	unrolled	300162391	
in black	material	(unrolled)	self	self	unrolled	300130920	
incised antler	material	(unrolled)	self	self	unrolled	300011796	
incised bone	material	(unrolled)	self	self	unrolled	300011798	
incised bone or ivory stick	material	(unrolled)	self	self	unrolled		
incised horn stick	material	(unrolled)	self	self	unrolled		
incised ivory stick	material	(unrolled)	self	self	unrolled		
incised ivory tortoiseshell stick	material	(unrolled)	self	self	unrolled		
incised mother-of-pearl stick	material	(unrolled)	self	self	unrolled		
incised overglaze enamel	material	(unrolled)	self	self	unrolled	300014910	
incised pearl shell	material	(unrolled)	self	self	unrolled	300011829	
incised sandalwood or cedar stick	material	(unrolled)	self	self	unrolled		
incised sandalwood stick	material	(unrolled)	self	self	unrolled		
incised tortoiseshell guard	material	(unrolled)	self	self	unrolled		
incised tortoiseshell stick	material	(unrolled)	self	self	unrolled		
incised walrus tusk	material	(unrolled)	self	self	unrolled	300011856	
incised wood guard	material	(unrolled)	self	self	unrolled		
incised wood stick	material	(unrolled)	self	self	unrolled		
india ink.	material	(unrolled)	self	self	unrolled		
indiana	material	(unrolled)	self	self	unrolled		
indigo	material	(unrolled)	self	self	unrolled	300013055	
indigo blue	material	(unrolled)	self	self	unrolled	300129361	
indigo discharge	material	(unrolled)	self	self	unrolled		
indigo dye	material	(unrolled)	self	self	unrolled	300013029	
indigo dyed	material	(unrolled)	self	self	unrolled		
indigo dyeing	material	(unrolled)	self	self	unrolled	300053049	
indigo tweed	material	(unrolled)	self	self	unrolled	300132867	
indigo-discharged	material	(unrolled)	self	self	unrolled		
indigo-dyed plain weave	material	(unrolled)	self	self	unrolled		
industrial sealing compound	material	(unrolled)	self	self	unrolled		
