token	count	facet_final	facet_source	canonical_final	aat_id	embedding_suggestion	embedding_similarity	note
seal intestine	4	material	rule	seal intestine				
one drawing	4	technique	rule	drawing				
black silk gros de tours	4	material	rule	black silk gros de tour				
30 reproductions printed in black	4	technique	rule	reproductions printed in black				
cotton damask	4	material	rule	cotton damask				
heavy white wove paper	4	support	rule	heavy white wove paper				
painted sticks	4	material	rule	painted stick				
color sugarlift aquatint etching	4	technique	rule	sugarlift aquatint etching				
color woodcut poster	4	technique	rule	woodcut				
hand painted cotton	4	material	rule	hand painted cotton				
one-quarter plate daguerreotype	4	technique	rule	one-quarter plate daguerreotype				
slip painted earthenware	4	material	rule	slip painted earthenware				
c-print	4	technique	rule	c-print				
purple paper	4	support	rule	purple paper				
green inks	4	material	rule	green ink				
black chalks	4	material	rule	black chalk				
title printed	4	technique	rule	title printed				
hand-dropped aquatint	4	technique	rule	hand-dropped aquatint				
soft graphite	4	material	rule	soft graphite				
painted warp	4	material	rule	painted warp				
silver embroidery	4	technique	rule	silver embroidery				
brocaded silk taffeta	4	material	rule	brocaded silk taffeta				
silk screen	4	material	rule	silk screen				
white silk	4	material	rule	white silk				
color print	4	technique	rule	print				
black cotton	4	material	rule	black cotton				
24 lithographs	4	technique	rule	lithograph				
ilford paper	4	support	rule	ilford paper				
etching printed in blue	4	technique	rule	etching printed in blue				
synthetic embroidery	4	technique	rule	synthetic embroidery				
wool gabardine	4	material	rule	wool gabardine				
rives roll paper	4	support	rule	rives roll paper				
color lithographmounted	4	technique	rule	lithographmounted				
white arches cover paper	4	support	rule	white arches cover paper				
gray-green gouache ground	4	material	rule	gray-green gouache ground				
ink jet prints	4	technique	rule	ink jet				
housepaint	4	material	rule	housepaint				
wool broadcloth	4	material	rule	wool broadcloth				
screenprint poster printed in black	4	technique	rule	screenprint poster printed in black				
coiled fiber	4	material	rule	coiled fiber				
lithograph in color	4	technique	rule	lithograph in color				
etching reproduction	4	technique	rule	etching reproduction				
polychrome ceramic	4	material	rule	polychrome ceramic				
partially glazed ceramic	4	material	rule	partially glazed ceramic				
2-color lithograph	4	technique	rule	2-color lithograph				
glass - beads	4	material	rule	glass - bead				
leather-bound book	4	material	rule	leather-bound book				
black wool jersey	4	material	rule	black wool jersey				
blue wove paper	4	support	rule	blue wove paper				
ebony veneer	4	material	rule	ebony veneer				
white ink	4	material	rule	white ink				
one woodcut	4	technique	rule	woodcut				
newsprint text verso	4	not_medium	rule	newsprint text verso				
mahogany veneer	4	material	rule	mahogany veneer				
black patent leather	4	material	rule	black patent leather				
black pen	4	material	rule	black pen				
paper spine label	4	material	rule	paper spine label				
gessoed crescent board	4	support	rule	gessoed crescent board				
steel engravings	4	technique	rule	steel engraving				
soft ground etching counterproof chine colle	4	technique	rule	soft ground etching counterproof chine colle				
color spit bite aquatint printed in brown-gray	4	technique	rule	spit bite aquatint printed in brown-gray				
arista semi-matte fiber paper	4	support	rule	arista semi-matte fiber paper				
auvergne pur chiffon à la main du richard de bas paper	4	support	rule	auvergne pur chiffon à la main du richard de bas paper				
mezzotints plus a frontispiece	4	technique	rule	mezzotints plus a frontispiece				
colored ink drawing	4	technique	rule	ink drawing				
three color lithographs	4	technique	rule	color lithograph				
aquatint printed in pink	4	technique	rule	aquatint printed in pink				
12 woodcuts	4	technique	rule	woodcut				
ink marker	4	material	rule	ink marker				
porous point pen	4	material	rule	porous point pen				
somerset satin enhanced paper	4	material	rule	somerset satin enhanced paper				
endpapers	4	support	rule	endpaper				
free endpapers	4	support	rule	free endpaper				
silk poplin	4	material	rule	silk poplin				
30 reproductions printed in green	4	technique	rule	reproductions printed in green				
silk taffeta lining	4	material	rule	silk taffeta lining				
2 woodcuts	4	technique	rule	woodcut				
satin ribbons	4	material	rule	satin ribbon				
color woodblock prints bound as a book	4	technique	rule	woodblock prints bound as a book				
typographical print from zincograph plate reworked	4	technique	rule	typographical print from zincograph plate reworked				
brush drawing	4	technique	rule	brush drawing				
7 engravings	4	technique	rule	engraving				
red paint	4	material	rule	red paint				
direct gravure copperplate intaglio	4	material	rule	direct gravure copperplate intaglio				
24 etchings	4	technique	rule	etching				
louvain opaque cover paper	4	support	rule	louvain opaque cover paper				
hard ground etching printed in black	4	technique	rule	hard ground etching printed in black				
two etchings	4	technique	rule	etching				
du marais wove paper	4	support	rule	du marais wove paper				
boards	4	support	rule	board				
carved gilded wood	4	technique	rule	carved gilded wood				
silk cut velvet	4	material	rule	silk cut velvet				
transfer paper printed	4	technique	rule	transfer paper printed				
cotton flannel	4	material	rule	cotton flannel				
senka-shi paper	4	support	rule	senka-shi paper				
color woodcut in fan format	4	technique	rule	woodcut in fan format				
free-blown non-lead glass	4	material	rule	free-blown non-lead glas				
color offset lithograph poster printed	4	technique	rule	offset lithograph poster printed				
black silk crepe	4	material	rule	black silk crepe				
crayon manner engraving printed in gray-brown ink	4	technique	rule	crayon manner engraving printed in gray-brown ink				
discontinuous weft brocading	4	material	rule	discontinuous weft brocading				
cut-pile embroidery	4	technique	rule	cut-pile embroidery				
terracotta mounted	4	material	rule	terracotta mounted				
collaged paper	4	support	rule	collaged paper				
cased sixth-plate daguerreotype	4	technique	rule	cased sixth-plate daguerreotype				
color softground aquatint	4	technique	rule	softground aquatint				
synthetic velvet	4	material	rule	synthetic velvet				
handwoven linen	4	material	rule	handwoven linen				
silk applique	4	material	rule	silk applique				
etching-aquatint	4	technique	rule	etching-aquatint				
six color screenprint	4	technique	rule	color screenprint				
soapstone	4	material	rule	soapstone				
pieced velvet trim	4	material	rule	pieced velvet trim				
woodcut printed in olive green	4	technique	rule	woodcut printed in olive green				
brass studs	4	material	rule	brass stud				
three lithographs	4	technique	rule	lithograph				
leather trim	4	material	rule	leather trim				
color lithograph printed in blue	4	technique	rule	lithograph printed in blue				
embroidery or brocade?	4	technique	rule	embroidery or brocade?				
metallic yarns	4	material	rule	metallic yarn				
crayon manner engraving printed in red ink	4	technique	rule	crayon manner engraving printed in red ink				
silk ribbons	4	material	rule	silk ribbon				
chiaroscuro woodcut from 2 blocks	4	technique	rule	chiaroscuro woodcut from 2 block				
silk bobbin net	4	material	rule	silk bobbin net				
gelatin silver print mounted	4	technique	rule	gelatin silver print mounted				
etching touched	4	technique	rule	etching touched				
color lithograph printed in two colors	4	technique	rule	lithograph printed in two color				
albumen silver print mounted to album page	4	technique	rule	albumen silver print mounted to album page				
zincograph in green color	4	material	rule	zincograph in green color				
engraving -etching	4	technique	rule	engraving -etching				
grey laid paper	4	support	rule	grey laid paper				
color aquatint.	4	technique	rule	aquatint.				
41 etchings	4	technique	rule	etching				
21 etchings	4	technique	rule	etching				
brass tacks	4	material	rule	brass tack				
hand etched glass	4	material	rule	hand etched glas				
cotton fiber	4	material	rule	cotton fiber				
wooden socles	4	material	rule	wooden socle				
vitreograph print from glass plate	4	technique	rule	vitreograph print from glass plate				
nephrite jade	4	material	rule	nephrite jade				
rhinestone buttons	4	material	rule	rhinestone button				
printed digitally	4	technique	rule	printed digitally				
crocheted cotton	4	material	rule	crocheted cotton				
weft resist dyeing	4		unresolved	weft resist dyeing				
felt tip pen	4	material	rule	felt tip pen				
sapphires	4	material	rule	sapphire				
green laid paper	4	support	rule	green laid paper				
polychromed wood	4	material	rule	polychromed wood				
stone?	4	material	rule	stone?				
cotton crochet	4	material	rule	cotton crochet				
six color lithograph	4	technique	rule	color lithograph				
stone - basalt	4	material	rule	stone - basalt				
blue paper mounted	4	support	rule	blue paper mounted				
coventry rag paper	4	support	rule	coventry rag paper				
printed in nine colors	4	technique	rule	printed in nine color				
joined paper	4	support	rule	joined paper				
ink transfer	4	material	rule	ink transfer				
satin complex weave	4	material	rule	satin complex weave				
cowry shells	4	material	rule	cowry shell				
silver galloon	4	material	rule	silver galloon				
enameled	4	material	rule	enameled				
airbrushed acrylic	4	material	rule	airbrushed acrylic				
color aquatint printed in tan	4	technique	rule	aquatint printed in tan				
grey wash	4	material	rule	grey wash				
white japanese paper	4	support	rule	white japanese paper				
incised pearl shell	4	material	rule	incised pearl shell				
sea mammal intestine	4	material	rule	sea mammal intestine				
softground aquatint	4	technique	rule	softground aquatint				
letterpress book	4	technique	rule	letterpress book				
300-gram arches watercolor paper	4	material	rule	300-gram arches watercolor paper				
drypoint b/w	4	technique	rule	drypoint b/w				
etching in brown ink	4	technique	rule	etching in brown ink				
spite bite aquatint	4	technique	rule	spite bite aquatint				
pen two tones brown ink	4	material	rule	pen two tones brown ink				
wood engraving in red	4	technique	rule	wood engraving in red				
grey paper	4	support	rule	grey paper				
silver gelatin print stereographic card	4	technique	rule	silver gelatin print stereographic card				
zincograph in yellow color	4	material	rule	zincograph in yellow color				
beeswax coated hosho paper	4	material	rule	beeswax coated hosho paper				
zincograph in blue color	4	material	rule	zincograph in blue color				
applied gold	4	material	rule	applied gold				
cut lead glass	4	material	rule	cut lead glas				
glazed earthenware?	4	material	rule	glazed earthenware?				
moulin du verger du puymoyen handmade paper	4	support	rule	moulin du verger du puymoyen handmade paper				
over watercolor	4	material	rule	over watercolor				
white silk satin	4	material	rule	white silk satin				
embossed paper	4	support	rule	embossed paper				
pink satin	4	material	rule	pink satin				
iron wood	4	material	aat	iron wood	300012172			
rotogravure	4	technique	aat	rotogravure	300263381			
synthetic paper	4	material	aat	synthetic paper	300386473			
block-printed	4	technique	aat	block-printed	300053289			
sandstone	4	material	aat	sandstone	300011376			
concrete	4	material	aat	concrete	300010737			
transfer printing	4	technique	aat	transfer printing	300053922			
open bite	4	technique	aat	open bite	300179734			
uncut velvet	4	material	aat	uncut velvet	300227918			
silver-gilt	4	material	aat	silver-gilt	300380110			
papier-mâché	4	material	variant	papier-mâché		papier mache	0.95	
fibers	4	material	variant	fiber		wood fiber	0.766	
tablet weaving	4	technique	aat	tablet weaving	300232219			
silver threads	4	material	aat	silver thread	300395639			
ruby glass	4	material	aat	ruby glas	300206372			
tissue paper	4	material	aat	tissue paper	300014145			
laid	3	technique	variant	laid	300264841	laid	1.0	
tipped in	3	technique	variant	tipped in	300135036	tipped in	1.0	
resist-dyed	3	technique	variant	resist-dyed	300053053	resist-dyed	1.0	
tassel	3	material	variant	tassel	300232185	tassel	1.0	
chiaroscuro	3	technique	variant	chiaroscuro	300053414	chiaroscuro	1.0	
papier mache	3	material	variant	papier mache	300014245	papier mache	1.0	
knotted	3	technique	variant	knotted	300053635	knotted	1.0	
oxides	3	material	variant	oxide	300400890	oxides	1.0	
resist	3	material	variant	resist	300015308	resist	1.0	
sateen	3	material	variant	sateen	300417857	sateen	1.0	
wicker	3	material	variant	wicker	300014690	wicker	1.0	
inlaid	3	technique	variant	inlaid	300053850	inlaid	1.0	
rosaline lace	3	material	variant	rosaline lace	300400710	rosaline lace	1.0	
brocading	3	technique	variant	brocading	300053648	brocading	1.0	
punch work	3	technique	variant	punch work	300186214	punch work	1.0	
dovetailed tapestry	3	technique	variant	dovetailed tapestry	300228510	dovetailed tapestry	1.0	
mechlin bobbin lace	3	material	variant	mechlin bobbin lace	300390933	mechlin bobbin lace	1.0	
lift ground	3	technique	variant	lift ground	300053243	lift ground	1.0	
faux fur	3	material	variant	faux fur	300390917	faux fur	1.0	
burned	3	technique	variant	burned	300228062	burned	1.0	
sennet	3	material	variant	sennet	300379318	sennet	1.0	
cellophane	3	material	variant	cellophane	300248126	cellophane	1.0	
pyrite	3	material	variant	pyrite	300011112	pyrite	1.0	
loose in wove wrappers	3	not_medium	rule	loose in wove wrapper		wrap, food	0.612	
including frontispiece	3		unresolved	including frontispiece		accessory elements	0.425	
cloth-bound book	3	material	embedding	cloth-bound book		cloth, book (textile material)	0.756	
taffeta lining	3	material	embedding	taffeta lining		taffeta	0.776	
hemstitching	3	material	embedding	hemstitching		hempseed oil	0.664	
nuts	3	material	embedding	nut		walnuts (nuts)	0.738	
grommets	3	technique	embedding	grommet		grisaille	0.634	
partly gilt	3	technique	embedding	partly gilt		gilt	0.825	
embroidered muslin	3	technique	embedding	embroidered muslin		embroidered	0.815	
raised bands	3		unresolved	raised band		cross-band	0.539	
highlighted	3	technique	embedding	highlighted		highlighting	0.854	
discharged	3	technique	embedding	discharged		filed	0.559	
braided plant fiber	3	technique	embedding	braided plant fiber		braided	0.673	
embroidered tulle	3	material	embedding	embroidered tulle		tulle (meshed textile)	0.756	
alpaca?	3	material	embedding	alpaca?		alpaca (wool)	0.691	
text broadside	3		unresolved	text broadside		broadcloth	0.47	
tipped into the book	3	technique	embedding	tipped into the book		tipped in	0.729	
ostrich	3	material	embedding	ostrich		eggshell, ostrich	0.787	
jewel	3	material	embedding	jewel		jewel, industrial	0.75	
gampi tissue	3	material	embedding	gampi tissue		gampi (paper)	0.724	
polychrone	3	material	embedding	polychrone		polyetherimide	0.58	
hawthorne	3		unresolved	hawthorne		pure scarlet	0.473	
supplemantery-weft patterning	3	technique	embedding	supplemantery-weft patterning		weft patterning	0.88	
blue glitter	3	material	embedding	blue glitter		glitter	0.833	
commercial cloth	3	material	embedding	commercial cloth		cloth	0.832	
lizard skin	3	material	embedding	lizard skin		lizard (leather)	0.764	
tortoise	3	material	embedding	tortoise		tortoise shell	0.837	
photo reproduction	3	technique	embedding	photo reproduction		photo-mechanical reproduction (process)	0.813	
kodak photographs	3	material	embedding	kodak photograph		photographic paper	0.7	
plaitwork	3	technique	embedding	plaitwork		plaited	0.663	
larger folded sheet	3	technique	embedding	larger folded sheet		paper-folding	0.624	
seamed	3	technique	embedding	seamed		side-stitched	0.603	
supplementary weft	3	technique	embedding	supplementary weft		weft-patterning	0.642	
cuffs	3	material	embedding	cuff		ropes	0.582	
seed pearls	3	material	embedding	seed pearl		freshwater pearls	0.677	
garland	3		unresolved	garland		heartwood	0.477	
cocoanut fiber	3	material	embedding	cocoanut fiber		cocoanuts (fruit)	0.737	
emu feathers	3	material	embedding	emu feather		emu eggshell	0.703	
couched beadwork	3	technique	embedding	couched beadwork		bead weaving	0.691	
embroidered taffeta	3	material	embedding	embroidered taffeta		taffeta	0.754	
reticella lace	3	technique	embedding	reticella lace		reticella	0.732	
moire	3	material	embedding	moire		moissanite	0.822	
polyester plain weave	3	material	embedding	polyester plain weave		plain weave (textile)	0.853	
loose in arches wove wrappers	3	not_medium	rule	loose in arches wove wrapper		wrap, food	0.453	
polychromed	3	technique	embedding	polychromed		polychromed (coloring process)	0.784	
7 pages	3	technique	embedding	page		paginated	0.561	
ormolu mounts	3	material	embedding	ormolu mount		ormolu	0.718	
weft predominate plain weave	3	material	embedding	weft predominate plain weave		weft loop weave	0.769	
tissue	3	material	embedding	tissue		paper, tissue	0.856	
animal hide	3	material	embedding	animal hide		cow-hide	0.736	
plied	3	material	embedding	plied		pla	0.688	
asphaltum smears	3	material	embedding	asphaltum smear		asphaltum (pigment)	0.684	
basketry made from the stem	3	material	embedding	basketry made from the stem		stem (plant material)	0.61	
white metal alloy chains	3	material	embedding	white metal alloy chain		white metal	0.62	
bookplate	3	material	embedding	bookplate		book tile	0.604	
black crepe	3	material	embedding	black crepe		crepeline	0.717	
red slip	3	technique	embedding	red slip		slip-cast	0.663	
metallic leaf additions	3	material	embedding	metallic leaf addition		metal leaf	0.783	
malachite	3	material	embedding	malachite		malachite (mineral)	0.81	
one sheet	3	technique	embedding	sheet		two-sheets on	0.767	
extra suite	3	not_medium	rule	extra suite		extra-illustrated	0.446	
no text	3		unresolved	no text		text prompt	0.511	
abrus	3	material	embedding	abru		cerusa	0.584	
trace	3	material	embedding	trace		elements, trace	0.801	
photo collage	3	material	embedding	photo collage		photographic paper	0.666	
photographer's drystamp	3	technique	embedding	photographer's drystamp		journalistic photography	0.557	
brocade?	3	technique	embedding	brocade?		brocaded	0.877	
colored background	3	material	embedding	background		hardground	0.608	
diagram	3		unresolved	diagram		wire-drawing	0.497	
complementary weft patterning	3	technique	embedding	complementary weft patterning		weft-patterning	0.869	
weft twining	3	technique	embedding	weft twining		twining	0.797	
page ornaments	3	material	embedding	page ornament		decorative papers	0.607	
zipatone	3		unresolved	zipatone		packfong	0.51	
engraved title	3	technique	embedding	engraved title		engraved (action)	0.766	
black soft ground	3	material	embedding	black soft ground		hard ground	0.705	
duck	3	material	embedding	duck		duck tape	0.67	
40 reproductions	3		unresolved	reproduction		reproduction (copying)	0.52	
hand stamping	3	technique	embedding	hand stamping		stamping (marking)	0.793	
2:1 twill lampas	3	material	embedding	2:1 twill lampa		twill	0.577	
resist-	3	material	embedding	resist-		resist	0.93	
deluxe	3		unresolved	deluxe		customized	0.519	
seed pods	3	material	embedding	seed pod		pods (seed material)	0.879	
sand ground	3	material	embedding	sand ground		sand	0.823	
the recto	3	not_medium	rule	the recto		rectified	0.573	
colored straw	3	material	embedding	straw		straw-board	0.783	
brussels combination lace	3	material	embedding	brussels combination lace		brussels lace (bobbin lace)	0.891	
photographers stamp	3	material	embedding	photographers stamp		photograph paper	0.655	
grasses	3	material	embedding	grasse		grasses (plant materials)	0.825	
chine	3	material	embedding	chine		chints	0.836	
synthetic lining	3	material	embedding	synthetic lining		lining (material)	0.831	
wove wrappers	3	material	embedding	wove wrapper		food wrap	0.671	
applied pigments	3	technique	embedding	applied pigment		pigment processes	0.81	
incised guards	3	technique	embedding	incised guard		incised	0.594	
hand-applied color	3	material	embedding	hand-applied color		<pigment by color>	0.624	
?	3		unresolved	?		n	0.537	
straps	3	technique	embedding	strap		buckled	0.611	
upholstery	3	technique	embedding	upholstery		upholstering	0.872	
supplementary weft wrapping	3	technique	embedding	supplementary weft wrapping		weft-wrapping	0.852	
mixografia relief	3	technique	embedding	mixografia relief		mixografia (r)	0.76	
covers	3	material	embedding	cover		tile, cover	0.622	
palm leaves	3	material	embedding	palm leave		palm leaf (material)	0.82	
lapis	3	material	embedding	lapi		lapis ophites	0.823	
nylon net	3	material	embedding	nylon net		nylon	0.79	
metal cord	3	material	embedding	metal cord		metal	0.718	
two joined sheets	3	technique	embedding	joined sheet		two sheets on	0.808	
lizard	3	material	embedding	lizard		lizardite	0.792	
knotted fringe	3	technique	embedding	knotted fringe		knotted	0.75	
base	3	material	embedding	base		base (substance)	0.752	
brilliants frame	3	technique	embedding	brilliants frame		framed	0.552	
dirt	3	material	embedding	dirt		dirt (soil)	0.829	
slit	3	technique	embedding	slit		slit tapestry	0.61	
mordant- dyed	3	technique	embedding	mordant- dyed		dyed	0.727	
impressions	3	technique	embedding	impression		direct impression composition	0.625	
guaze weave	3	material	embedding	guaze weave		weave, simple	0.586	
8 reproductions	3		unresolved	reproduction		reproduction (copying)	0.535	
red-brown	3	material	embedding	red-brown		pigment, red	0.715	
mountain goat horn	3	material	embedding	mountain goat horn		mountain goat hair	0.737	
interlocked-tapestry weave	3	technique	embedding	interlocked-tapestry weave		interlocked tapestry	0.918	
coix seeds	3	material	embedding	coix seed		coix seed (seeds)	0.95	
natural fiber	3	material	embedding	natural fiber		coconut fiber	0.736	
soft ground offset	3	technique	embedding	soft ground offset		soft-ground technique	0.72	
sumi	3	technique	embedding	sumi		sumi (technique)	0.737	
in brown	3	not_medium	rule	in brown		brown, transparent	0.654	
1 blind embossed plate for cover	3	technique	embedding	blind embossed plate for		blind embossing	0.749	
dry point	3	technique	embedding	dry point		point, dry (printing process)	0.657	
trimmed in red	3	technique	embedding	trimmed in red		trimmed	0.794	
an oban triptych	3	not_medium	rule	an oban triptych		orichalch	0.458	
camelid	3	material	embedding	camelid		hair, camelid	0.808	
grey suede	3	material	embedding	grey suede		suede	0.769	
vignette	3	material	embedding	vignette		vitriol	0.563	
bamboo sticks	3	material	embedding	bamboo stick		bamboo (material)	0.784	
molded	3	material	embedding	molded		wooden	0.586	
engraved metal	3	technique	embedding	engraved metal		steel-engraved (printing process)	0.802	
mordant dyed	3	technique	embedding	mordant dyed		dyed	0.706	
assemblage	3	technique	embedding	assemblage		assemblage (sculpture technique)	0.644	
mycelium fungus	3	material	embedding	mycelium fungu		mushroom (fungi)	0.695	
tone - line process	3	technique	embedding	tone - line proces		half-tone process	0.814	
paste-resist dyeing	3	technique	embedding	paste-resist dyeing		resist dyeing	0.82	
sevres ware	3	material	embedding	sevres ware		parian ware	0.672	
not known	3		unresolved	not known		stumped	0.433	
press photograph	3	technique	embedding	press photograph		press photography	0.902	
chromograph	3	technique	embedding	chromograph		chromo process	0.609	
tie dye	3	technique	embedding	tie dye		tie-dyeing	0.919	
the back	3	not_medium	rule	the back		back-lined	0.6	
salt-lift ground	3	technique	embedding	salt-lift ground		salt-lift	0.855	
vegetale dyes	3	material	embedding	vegetale dye		vegetable dyes	0.748	
vinyon	3		unresolved	vinyon		natron	0.491	
boar's hair	3	material	embedding	boar's hair		goat hair	0.702	
applied ties	3	material	embedding	applied tie		tie-bars	0.578	
braid applique	3	technique	embedding	braid applique		braiding	0.756	
seal gut	3	material	embedding	seal gut		sealant	0.656	
abraded	3	material	embedding	abraded		abherent	0.576	
single-channel video	3	technique	embedding	single-channel video		videography	0.595	
3 sides	3		unresolved	side		lighting, side	0.516	
embroidered damask?	3	technique	embedding	embroidered damask?		embroidered	0.754	
metal relief	3	technique	embedding	metal relief		hollow relief	0.752	
single sheet	3	technique	embedding	single sheet		two-sheets on	0.72	
crinoline	3	material	embedding	crinoline		cristallino	0.643	
two-sided	3	technique	embedding	two-sided		two-on	0.555	
applied handles	3		unresolved	applied handle		mechanical binding (process)	0.488	
walrus skins	3	material	embedding	walrus skin		walrus ivory	0.66	
bobbin-made honiton lace	3	material	embedding	bobbin-made honiton lace		bobbin lace	0.835	
mixed media color relief	3	material	embedding	mixed media color relief		mixed material (mixed media)	0.575	
bohemian lace	3	material	embedding	bohemian lace		english lace	0.756	
bound sketchbook	3	technique	embedding	bound sketchbook		sketching	0.648	
1	3	not_medium	rule	1		b	0.598	
complementary weft weave	3	material	embedding	complementary weft weave		weft-loop weave	0.822	
sycamore	3	material	embedding	sycamore		sycamore, american	0.85	
irish crochet lace	3	material	embedding	irish crochet lace		english lace	0.751	
original wrappers	3	material	embedding	original wrapper		plastic wrap	0.685	
multiple-interlocking through beads	3	technique	embedding	multiple-interlocking through bead		bead weaving	0.599	
sennit cord	3	material	embedding	sennit cord		sennit	0.663	
metallic dust	3	material	embedding	metallic dust		dust	0.8	
nassa	3	technique	embedding	nassa		naa	0.589	
color soapground	3	material	embedding	soapground		soap (brick)	0.686	
stumping under	3	technique	embedding	stumping under		stumping	0.852	
video	3	technique	embedding	video		videotaping	0.594	
eching	3		unresolved	eching		defleshing	0.441	
alder	3	material	embedding	alder		alder (wood)	0.781	
bird wing	3	material	embedding	bird wing		beetle wing	0.661	
wefts	3	technique	embedding	weft		weft-wrapped	0.669	
blue background	3	material	embedding	blue background		blue black	0.669	
coconut husk	3	material	embedding	coconut husk		coconut (fruit)	0.711	
vicuna	3	material	embedding	vicuna		septaria	0.575	
complementary warp patterning	3	technique	embedding	complementary warp patterning		warp-patterning	0.874	
faience ware	3	material	embedding	faience ware		parian ware	0.645	
agate?	3	material	embedding	agate?		ag	0.798	
blood	3	material	embedding	blood		blood (animal material)	0.721	
machine	3	technique	embedding	machine		machined	0.749	
transparent brown gray	3	material	embedding	transparent brown gray		transparent brown	0.888	
villon	3	material	embedding	villon		vitriol	0.567	
essays	3	material	embedding	essay		writing paper	0.603	
attached objects	3	technique	embedding	attached object		boards, attaching	0.621	
brussels lace	3	material	embedding	brussels lace		lace, brussels (bobbin lace)	0.911	
supplementary-weft brocading	3	technique	embedding	supplementary-weft brocading		weft-patterning	0.575	
boar's teeth	3	material	embedding	boar's teeth		teeth (material)	0.557	
bound in wove wrappers	3		unresolved	bound in wove wrapper		wrapping (surface covering process)	0.462	
r:brush	3	technique	embedding	r:brush		brush-making	0.717	
inlay	3	technique	embedding	inlay		inlaying	0.804	
blue beads	3	material	embedding	blue bead		soluble blue	0.587	
caribou antler	3	material	embedding	caribou antler		hair, caribou	0.583	
woven wicker	3	technique	embedding	woven wicker		woven	0.756	
collage elements	3	material	embedding	collage element		collagen	0.741	
dovetailed-tapestry weave	3	technique	embedding	dovetailed-tapestry weave		dovetailed tapestry	0.915	
sennit string	3	material	embedding	sennit string		sennit	0.64	
coconut disks	3	material	embedding	coconut disk		coconuts (fruits)	0.734	
woven straw	3	material	embedding	woven straw		straw (plant material)	0.755	
complex braid	3	technique	embedding	complex braid		braiding	0.796	
arches cover buff	3		unresolved	arches cover buff		shingles, fiberglass	0.471	
artificial pearls	3	material	embedding	artificial pearl		artificial pearl	0.866	
tusk	3	material	embedding	tusk		tusk (material)	0.807	
hematite?	3	material	embedding	hematite?		hemicellulose	0.668	
slipcase is covered	3	technique	embedding	slipcase is covered		slip decoration	0.562	
flemish pillow lace	3	material	embedding	flemish pillow lace		old-flemish lace	0.86	
whale sinew	3	material	embedding	whale sinew		bone, whale	0.689	
specially commissioned essay in a separate bound volume	3		unresolved	specially commissioned essay in a separate bound volume		cross-section paper	0.423	
book in 2 volumes	3	technique	embedding	book in 2 volume		binding of books	0.606	
a suite	3	not_medium	rule	a suite		tile, mission	0.458	
cream japon wrappers	3	material	embedding	cream japon wrapper		food wrap	0.622	
machine valenciennes lace	3	material	embedding	machine valenciennes lace		valenciennes lace	0.873	
magic marker	3		unresolved	magic marker		pencil (marking material)	0.538	
gilt lettering	3	technique	embedding	gilt lettering		gilt	0.766	
metal zipper	3	material	embedding	metal zipper		metal	0.582	
grey spit bite	3	technique	embedding	grey spit bite		spit bite	0.783	
mezzo punto lace	3	material	embedding	mezzo punto lace		milan lace	0.682	
ribbon fringe	3	material	embedding	ribbon fringe		fringe	0.665	
paradise feathers	3	material	embedding	paradise feather		feathers (material)	0.678	
blue ribbon	3	material	embedding	blue ribbon		blue paper	0.619	
gravure	3	technique	embedding	gravure		gravure (printing)	0.738	
net lace	3	material	embedding	net lace		network lace	0.832	
lace applique	3	material	embedding	lace applique		lace, application	0.758	
after collages	3	technique	embedding	after collage		collage technique	0.648	
ruby	3	material	embedding	ruby		ruby (mineral)	0.768	
corduroy	3	material	embedding	corduroy		cordwain	0.609	
albumen	3	technique	embedding	albumen		process, albumen	0.763	
cassava starch-resist dyeing	3	material	embedding	cassava starch-resist dyeing		cassava starch	0.682	
bobbin tape guipure lace	3	material	embedding	bobbin tape guipure lace		bobbin lace	0.799	
16 pages	3		unresolved	page		paginated	0.541	
warp	3	material	embedding	warp		warp-twist	0.84	
skin - lizard	3	material	embedding	skin - lizard		fish-skin	0.688	
dog teeth	3	material	embedding	dog teeth		teeth (material)	0.661	
nylon blend	3	material	embedding	nylon blend		nylon	0.807	
weft-float brocading	3	technique	embedding	weft-float brocading		weft patterning	0.623	
101	3	not_medium	rule	101		numbered	0.46	
basalt ware	3	material	embedding	basalt ware		fiber, basalt	0.745	
edged	3	technique	embedding	edged		decoration, edge	0.717	
tables only	3		unresolved	tables only		salt, table	0.545	
colored by hand	3	technique	embedding	by hand		command of hand	0.594	
limited edition artists' book	3	material	embedding	limited edition artists' book		artists' materials	0.655	
milanese bobbin tape guipure	3	material	embedding	milanese bobbin tape guipure		tape guipure	0.732	
woven fiber	3	material	embedding	woven fiber		woven material	0.888	
offset title page	3	not_medium	rule	offset title page		offset (offset printing)	0.541	
brocaded taffeta	3	material	embedding	brocaded taffeta		taffeta	0.735	
ochres	3	material	embedding	ochre		roman ochre	0.726	
amber sticks	3	material	embedding	amber stick		retinite amber	0.656	
bitten tone	3	technique	embedding	bitten tone		biting	0.637	
albumen photograph	3	material	embedding	albumen photograph		albumen paper	0.721	
duck feathers	3	material	embedding	duck feather		feathers (material)	0.726	
lime?	3	material	embedding	lime?		lime white	0.793	
brown lettering	3	material	embedding	brown lettering		brown pigment	0.66	
buckinghamshire lace	3	material	embedding	buckinghamshire lace		nottingham lace	0.808	
cottonwood	3	material	rule	cottonwood				
1 wood engraving	3	technique	rule	wood engraving				
white offset lithograph	3	technique	rule	white offset lithograph				
