facet_value	facet	total_occurrences	member_terms	category_source	category_aat_id	members
shell	material	358	5	AAT	300011829	cowrie shell | mother-of-pearl | mother-of-pearl stick | pearl | shell
marble	material	170	13	AAT	300011443	alabaster set into black belgian marble | black marble | carrara marble | d'alep marble | giallo marble | glass marble | marble | marble base | pentelic marble | red griotte marble | rosso antico marble | white marble | yellow marble
enamel	material	146	1	AAT	300014910	enamel
lacquer	material	129	2	AAT	300014916	japanese lacquer with mother-of-pearl | lacquer
bone	material	97	1	AAT	300011798	bone
dyeing	material	88	1	AAT	300053049	wax-resist dyeing
mica	material	71	1	AAT	300011124	mica
wax	material	47	1	AAT	300014585	wax
etching	technique	26098	131	AAT	300053241	accompanying etching | additional hand-colored etching | black etching | black hard ground etching | book with16 etching | book with19 etching | carborundum etching | chi. etching | chine collé soft ground etching | coloe etching | color etching | color illustrations total: 23 etching | color soft ground etching | color soft-ground etching | color solar etching | color steel plate etching | colour etching | copper plate etching | crayon-resist flat bite etching | cut etching | cut-out etching | detached color etching | double page etching | dry embossed etching | dyptych etching | each: etching | encaustic etching | engraving - etching | engraving an d etching | engraving and/or etching | engraving etching | engravingand etching | engravings in etching | etching | etching & engraving | etching - engraving | etching and/or engraving | etching engraving | etching printed | etching printed in brown ink | etching- engraving | etching-engraving | etchings plus 1 additional etching | etchings: etching | etchingswith engraving | extra suites together comprising 6 etching | facsimile etching | flat bite etching | flat-bite etching | forty etching | four-plate color etching | frontispiece etching | full page etching | hand ground etching | hand-colored etching | hard etching | hard ground etching | hard ground etching soft ground etching | hard groung etching | hard-ground color etching | hard-ground etching | hardground etching | illustrations total: 1 etching | illustrations total: 11 etching | illustrations total: 15 etching | illustrations total: 8 etching | including etching | inlaid etching | intaglio color etching | intaglio etching | lift ground etching | limestone etching | line etching | monoprint etching | monoprinted etching | mouldmade in france. etching | open-bite etching | original etching | pages containing 45 etching | painted etching | pen & black ink & handcolored etching | photo etching | photoetching | printed chine collé etching | relief color etching | relief etching | relief-printed etching | reproduction etching | reproductive etching | resist ground etching | resist-ground etching | reverse etching | reverse soft ground etching | reverse softground etching | sand-grain etching | separate etching | silk wax process color print or etching | single color etching | sixty-four etching | soap ground etching | soap-ground etching | soapground etching | soft - ground etching | soft ground etching | soft-ground color etching | soft-ground etching | softground etching | softrgound etching | solar etching | solar plate etching | solarplate etching | some etching | spit bite etching | spit-bite etching | spitbite softground etching | sugar lift etching | sugar-lift etching | sugarlift etching | thirty etching | title etching | transfer-printed etching | trimmmed etching | twenty-eight etching | twenty-six color etching | twenty-three etching | various media including etching | white etching | white lift ground etching | wood etching | zinc etching | zinc plate viscocity etching
engraving	technique	14831	43	AAT	300053225	19th century engraving | 3color engraving | additional engraving | book wtih engraving | burin engraving | color engraving | color photoengraving | copper engraving | copper plate engraving | copper-plate engraving | crayon manner engraving | double-page engraving | engraving | engraving in pre-prepared frame | engraving printed from lead plate | full page engraving | full-page engraving | illustrations total: 1 engraving | illustrations total: 10 engraving | illustrations total: 2 engraving | including engraving | line engraving | line engraving after etching | mechanically reproduced engraving | metal relief engraving | niello engraving | numbered engraving | photo engraving | photoengraving | plexiglas engraving | power tool engraving | probably unrelated engraving | reproduction illustrations after engraving | reproductive engraving | roulette engraving | sixty-two engraving | some engraving | steel engraving | toolwork engraving | various media including engraving | woo0d engraving | wood-engraving | woodcut engraving
lithograph	technique	14561	12	LLM-coined		chromolithograph | color lithograph | computer generated images in waterless lithography | crayon lithograph | drawings reproduced by photolithography | lithograph | lithographic monoprint | lithography | off-set lithography | photolithograph | photolithography | transfer lithograph
woodcut	technique	8041	62	AAT	300053296	1color woodcut | additional woodcut | aiban woodcut | artist book witih 9 woodcut | black woodcut | blue woodcut | but also woodcut | chiaroscuro woodcut | chinese watercolor woodcut | chinese woodcut | chuban woodcut | color woodcut | eighty color woodcut | embossed color woodcut | full page woodcut | green chiaroscuro woodcut | hand printed woodcut | hand-printed color woodcut | hosoban woodcut | illustrations total: 22 woodcut | illustrations total: 4 woodcut | illustrations total: 6 woodcut | interleaved woodcut | mixed technique color intaglio print or woodcut | monoprint color woodcut | oban color woodcut | oban woodcut | original color woodcut | original woodcut | over 1800 woodcut | pictorial woodcut | quarter-chuban woodcut | raised line woodcut | reductive woodcut | relief woodcut | rust-brown woodcut | seven-color woodcut | seventy-nine woodcut | six-color woodcut | small color woodcut | small woodcut | tcolor woodcut | twenty-nine woodcut | two-color woodcut | uninked woodcut | watercolor woodcut | white & color woodcut | white line woodcut | white woodcut | woodblock | woodblock monotype | woodcut | woodcut monoprint | woodcut monotype | woodcut printed in black | woodcut printed in red | woodcut reproduction | woodcut surimono | woodcut triptych | woodcut vertical diptych | woodcutcolor woodcut | woodcuts total: 11 woodcut
wood engraving	technique	7923	23	AAT	300053303	1wood engraving | baxter process wood engraving | ca. 165 wood engraving | ccolor wood engraving | chiaroscuro wood engraving | color color wood engraving | color wood engraving | electrotypes from wood engraving | engraving wood engraving | full page wood engraving | full-page wood engraving | hand coloring / wood engraving | illustrations total: 38 wood engraving | monochrome wood engraving | ninety-nine wood engraving | pages containing 500 wood engraving | smaller wood engraving | text wood engraving | uncounted small wood engraving | uncounted wood engraving | with 98 wood engraving | wood engraving | wood engraving.
aquatint	technique	6745	74	AAT	300053242	aquatint | aquatint drypoint | aquatint etching | aquatint monoprint | aquatint photogravure | aquatint printed chine collé | black aquatint | blue hand-dropped aquatint | burnished aquatint | chiaroscuro aquatint | chine aquatint | coloe sugarlift aquatint | color aquatint | colour aquatint | colro aquatint | colro aquatint etching | direct to plate aquatint etching | etching aquatint | flat bite aquatint | flat-bite aquatint | full-page color aquatint | hand-dropped aquatint | illustrations total: 3 aquatint | illustrations: 2 aquatint | lift ground aquatint | lift-ground aquatint | manipulated aquatint | on black aquatint | pencil additions 1 color aquatint | photogram-gravure aquatint | plate color aquatint | reverse spit bite aquatint | reworked aquatint | sandpapered soap ground aquatint | secondary end papers are aquatint | soap aquatint | soap ground aquatint | soap-ground aquatint | soap-ground aquatint etching | soap=ground aquatint | soapground aquatint | soapground aquatint etching | soft ground aquatint | softground aquatint | softground aquatint etching | spirit-ground aquatint | spit aquatint | spit bite aquatint | spit bite aquatint etching | spit bite aquatint soap ground etching | spit bite aquatintwith aquatint | spit bte aquatint | spit-bite aquatint | spitbite aquatint | spitbite aquatint etching | spite bite aquatint | spitebit aquatint | spitebite aquatint | split bite aquatint | spray-paint aquatint | stipple aquatint | sugar lift aquatint | sugar lift spit bite aquatint | sugar-lift aquatint | sugar-llft aquatint | sugarl ift aquatint | sugarlift aquatint | sugarlift aquatint etching | unique color aquatint | water bite aquatint | water-bite aquatint | waterbite aquatint etching | white aquatint | xerox transfer aquatint
photographic process	technique	5122	44	LLM-coined		1/16 plate ambrotype | 1/2 plate ambrotype | 1/2 plate daguerreotype | 1/4 plate daguerreotype | 1/4 plate tintype | albumen | albumen silver | albumen silver print stereographic card | ambrotype | archival pigment | c-print photograph | cased ambrotype | cased daguerreotype | cased sixth-plate daguerreotype | cased tintype | cibachrome | cliché-verre | colour photograph | daguerreotype | digital | gelatin silver | gold-toned albumen silver print from a collodion negative | heliogravure | inkjet | manipulated daguerreotype | mounted albumen silver | one-quarter plate daguerreotype | one-sixth plate daguerreotype | photocopy | photograph | platinum | polaroid | quarter-plate ambrotype | quarter-plate daguerreotype | selenium-toned gelatin silver | silver gelatin | sixth plate daguerreotype | sixth-plate daguerreotype | tintype | toned gelatin silver | vintage gelatin silver | white photograph | whole-plate ambrotype | xerograph
drypoint	technique	4106	25	AAT	300053228	blue drypoint | book containing seven drypoint etching | book with7 drypoint | color drypoint | drypoint | drypoint engraving | drypoint etching | drypoint monoprint | drypoints accompanied by a drypoint | etching - drypoint | etching drypoint | etching offset resist - drypoint | etching reworked in drypoint | etching-drypoint | etching/drypoint | frontispiece drypoint | hand-color drypoint | illustrations total: 2 drypoint | intaglio prints made from drypoint | japan paper etching drypoint | plate drypoint | roulette drypoint | selective inking drypoint | very light drypoint | wall installation: color drypoint
offset lithograph	technique	3420	12	LLM-coined		four-color offset lithography | hand-offset lithography | offset | offset lithograph | offset lithograph handbill | offset lithograph postcard | offset lithography | offset printing | quotations from the text printed by color offset lithography | screenless color offset lithograph | translucent uv/ultra ii paper by offset lithography | white offset lithograph
hand colouring	technique	2639	8	LLM-coined		additional hand coloring | hand coloring | hand coloring after lithograph | hand colouring | hand-coloring | pochoir hand colored by the artist | possible additional hand coloring | stencil color
surface technique	technique	2075	18	LLM-coined		burin | burnisher | burnishing | carved | carved wood | cast bronze | cut-out | cutting | embossing | gilding | gilt | heightened | incised | metal relief | polychromy | scraping | torn | torn edge
mezzotint	technique	1662	9	AAT	300053233	/or mezzotint | color mezzotint | etching mezzotint | mezzotint | mezzotint engraving | mezzotint printed in brown ink | twenty-four mezzotint | twenty-two mezzotint | white mezzotint
screenprint	technique	1415	3	LLM-coined		screen printed | screenprint | screenprint monoprint
other printmaking	technique	1370	21	LLM-coined		baxter proces | block printing | crayon manner | foil stamping | gillotage | heliotype | lift-ground | mixografia | print | printed | printed chine collé | printed cotton | printed paper magazine | relief halftone | roulette | spit bite | spitbite | sugar lift | sugar-lift | sugarlift | typographic
weaving	technique	1295	18	AAT	300053642	brocading | card weaving | computer-aided weaving | discontinous supplementary-weft weaving | ikat weaving | plain weave | plain weaving | reed weaving | slit tapestry | slit tapestry weave | slit-tapestry | strip weaving | supplementary-weft patterning | supplementary-weft weaving | tapestry weave | warp-faced plain weave | weaving | weft-faced plain weave
embroidery	technique	1251	8	AAT	300264024	appliqué | beadwork | embroidered | embroidery | eyelet embroidery | pieced | quilted | silk embroidery
photomechanical	technique	1055	9	LLM-coined		four-colour proces | offset printed reproduction | photo offset lithograph | photo-offset | photolithograph reproduction after a pen drawing | photomechanical relief printing | photomechanical reproduction | photomechanically reproduced image | reproduction
drawing	technique	863	7	AAT	300054031	brush application | drawing | graphite underdrawing | ink drawing | original drawing | pencil drawing | stumping
other technique	technique	797	10	LLM-coined		c | collage | color | lettering | mixed media | oban | photo-collage | ring | rivet | sheet
letterpress	technique	766	2	LLM-coined		letterpres | letterpress printing
stipple engraving	technique	724	4	AAT	300053239	color stipple engraving | stipple | stipple engraving | stipple etching
knitting/knotting	technique	553	1	LLM-coined		knotted pile
line block	technique	506	1	LLM-coined		line block
pochoir	technique	462	3	AAT	300053436	pochoir | stencil | stenciled transparent
linocut	technique	436	2	LLM-coined		linocut | linoleum cut
monotype	technique	410	11	AAT	300053277	black ink monotype | color monotype | crayon monotype | ink monotype | monoprint | monotype | pigment monotype | resist dye monoprint | scanned monotype | toned monoprint | watercolor monotype
photogravure	technique	355	17	AAT	300053207	blue photogravure | chine collé photogravure | color photogravure | color photogravure etching | direct gravure | direct gravure etching | direct to plate photogravure | gravure etching | hand-colored photogravure | handpainted photogravure | mostly photogravure | original photogravure | photogravure | red photogravure | reproduction from a photogravure | rotogravure | white photogravure
dyeing	technique	225	20	AAT	300053049	block-resist dyeing | bound-resist dyeing | clamp-resist dyeing | discharge dyeing | fold-resist dyeing | mordant dyeing | mordant resist dyeing | paste- resist dyeing | paste-resist dyeing | printed imitation resist dyeing | resist dyeing | space dyeing | space- resist dyeing | stencil-resist dyeing | stenciled paste-resist dyeing | stich-resist dyeing | stitch- resist dyeing | stitch-resist dyeing | warp-resist dyeing | weft-resist dyeing
binding/mounting	technique	188	4	LLM-coined		books bounded together. | bound book | folded sheet | mounted
woodburytype	technique	114	1	AAT	300053509	woodburytype
intaglio print	technique	98	1	AAT	300053218	intaglio
collotype	technique	86	1	AAT	300053204	collotype
collagraph	technique	75	2	LLM-coined		collagraph | collograph
relief print	technique	38	1	AAT	300053285	relief
